s.no,address,bank,atm_id,coord_x,coord_y,freguesia,parish,mway_dist,police_dis,income,density,age,unp_rate,com_dens,event_date,freq_attack,success_attack,n_income,n_density,n_age,n_unp_rate,n_com_dens,n_freq_attack
155,Av. da Liberdade 131,The Royal Bank Of Scotland N.V. - Sucursal Em Portugal,RBS2,-9.1451117,38.7189321,Santo António,19,1300.0,500,69,19.62429052490356,36,2,17,,0,0,,,,,,
156,Av. Eng. Duarte Pacheco 1114,ActivoBank - Amoreiras (Lisboa),AB2,-9.1619461,38.7233286,Campolide,9,2939.66162472,850,69,19.40858853855895,43,3,23,,0,0,,,,,,
157,Centro Vasco da Gama Av. Dom João II Loja 0063,ActivoBank - Vasco da Gama (Lisboa),AB4,-9.0974183,38.767767,Parque das Nações,16,1297.2050025,600,68,19.640746032445037,35,2,17,,0,0,,,,,,
158,R. Barata Salgueiro 6A,BBVA,BV4,-9.146481,38.7225255,Santo António,19,950.0,1000,68,19.762244019870828,32,2,12,,0,0,,,,,,
159,Praça Marquês de Pombal n.º 13 piso 1,Bankinter,BI1,-9.1490299,38.725787,Santo António,19,2939.66162472,1100,69,19.44856955013592,42,3,22,,0,0,,,,,,
160,Largo da Graça 125,Millennium bcp,MBCP10,-9.1300386,38.7182214,São Vicente,20,1600.0,1000,68,19.654545572217522,35,2,15,,0,0,,,,,,
161,Torre 3 das Amoreiras R. Tierno Galvan 12º Piso,Banco BAI Europa,BA2,-9.1633294,38.7232294,Campolide,9,2939.66162472,1400,69,19.496546764028288,41,2,19,,0,0,,,,,,
162,R. Carlos Alberto da Mota Pinto 3,Amoreiras,AAS1,-9.1605741,38.7237799,Campo de Ourique,8,2939.66162472,600,70,19.368607526981975,44,3,25,,0,0,,,,,,
163,R. Alexandre Herculano 38,Haitong Bank  S.A.,HBSA1,-9.1500545,38.7226053,Santo António,19,2939.66162472,600,70,19.368607526981975,44,3,25,,0,0,,,,,,
164,Largo da Graça 109 111,Caixa Geral de Depósitos,CX12,-9.1300804,38.717768,São Vicente,20,1500.0,1000,68,19.671114564164185,35,2,15,,0,0,,,,,,
165,Av. António Augusto de Aguiar 21B,Millennium BCP,MBCP11,-9.1511985,38.7308024,Avenidas Novas,5,2939.66162472,1400,69,19.496546764028288,41,2,19,,0,0,,,,,,
166,R. Ferreira Borges 60-68,Millennium bcp,MBCP12,-9.1638239,38.7168622,Campo de Ourique,8,1000.0,500,68,19.67399750074355,34,2,16,,0,0,,,,,,
167,R. Castilho 26,novobanco Sede,NB18,-9.1502042,38.7216269,Santo António,19,850.0,1000,68,19.77881301181749,31,2,11,,0,0,,,,,,
168,Av. República 20 A,Abanca,ACA1,-9.1450988,38.7363511,Areeiro,3,2162.11623226,2200,68,19.75331743453295,34,2,9,,0,0,,,,,,
169,Estação do Oriente Lj G223 A,Millennium bcp,MBCP13,-9.0987257,38.7675623,Parque das Nações,16,1297.2050025,190,69,19.575177173458798,37,2,20,,0,0,,,,,,
170,Av. República 28A,novobanco Av. República,NB6,-9.1452674,38.7371061,Areeiro,3,1748.90318099,3300,67,19.99769912265912,27,2,-1,,0,0,,,,,,
171,Av. da Liberdade 245 Loja 1,EuroBic ABANCA - Av. Liberdade,EB2,-9.1490578,38.723422,Santo António,19,2939.66162472,750,69,19.39259613392816,44,3,24,,0,0,,,,,,
172,Av. D. João II PPI Expo 98 Lote 1.17.01 Torre Zen Loja D,Santander Totta,ST2,-9.0978331,38.7713487,Parque das Nações,16,2761.79069464,750,69,19.422067554008567,43,3,23,,0,0,,,,,,
173,R. Cidade de Nampula 4,Banco BPI | Olivais Sul,BA15,-9.1205266,38.7632903,Lumiar,12,3.12890171071,77,68,19.771521121149473,30,2,14,,0,0,,,,,,
174,Campo Grande 28,Caixa Geral de Depósitos,CX13,-9.148104,38.7496587,Alvalade,2,679.19634395,550,68,19.73514763499447,32,2,14,,0,0,,,,,,
175,Av. Miguel Bombarda 7,Crédito Agrícola,CI1,-9.1450175,38.7371823,Areeiro,3,1451.29865906,1900,68,19.823115527099553,31,2,8,,0,0,,,,,,
176,Av. Guerra Junqueiro 9 A,Millennium bcp,MBCP14,-9.1353734,38.7383633,Areeiro,3,2939.66162472,2100,68,19.608493596443815,38,2,14,,0,0,,,,,,
177,Campo Grande 14d Rc Lj 1,Banco BPI | Campo Grande,BA12,-9.1480217,38.7493084,Alvalade,2,1451.29865906,850,68,19.655195278476263,35,2,16,,0,0,,,,,,
178,Av. Eng. Duarte Pacheco,Novo Banco,NB2,-9.1616642,38.7237957,Campolide,9,2939.66162472,1300,69,19.4805543593975,42,2,20,,0,0,,,,,,
179,R. Cidade de Nampula Lt 534 Célula B,Caixa Geral de Depósitos,CX14,-9.1201839,38.7636328,Lumiar,12,628.968532261,400,68,19.71948127012202,33,2,15,,0,0,,,,,,
180,R. Galileu Galilei 2,BNP Paribas Corporate and Institutional Banking,BNP1,-9.1887569,38.753568,Lumiar,12,719.798770363,1300,68,19.84836325696287,29,2,9,,0,0,,,,,,
181,Av. República 2B,Bankinter,BI2,-9.144647,38.734481,Areeiro,3,1451.29865906,1800,68,19.807123122468766,31,2,9,,0,0,,,,,,
182,Av. Dom João II 19b,Banco BPI | Expo,BA13,-9.0983147,38.7648421,Parque das Nações,16,4388.97083492,1300,70,19.240418433077217,50,3,28,,0,0,,,,,,
183,Avenida Lusíada Centro Comercial Colombo Lj 0.020,Millennium bcp,MBCP15,-9.1872997,38.7542207,Carnide,10,1786.0640517,1500,68,19.70367865762966,34,2,13,,0,0,,,,,,
184,R. Filipe Folque 2 C D,Banco CTT Picoas,BA21,-9.150321,38.7307923,Areeiro,3,1786.0640517,1500,68,19.70367865762966,34,2,13,,0,0,,,,,,
185,Alameda dos Oceanos 3.13.02 RC A B,Caixa Geral de Depósitos,CX15,-9.0970331,38.7557838,Parque das Nações,16,2215.47674641,1400,69,19.616536898194425,37,2,16,,0,0,,,,,,
186,Cidade Universitária Subway Station,Caixa Geral de Depósitos,CX16,-9.158245,38.7526578,Alvalade,2,2215.47674641,1500,68,19.632529302825212,37,2,15,,0,0,,,,,,
187,Praça Marquês de Pombal 3B,novobanco Marquês de Pombal,NB12,-9.1509384,38.7247202,Santo António,19,1786.0640517,800,69,19.591731825214133,37,2,18,,0,0,,,,,,
188,C C Amoreiras Av. Eng. Duarte Pacheco Lt 7,Millennium bcp,MBCP16,-9.1618969,38.7236515,Campolide,9,2275.00839028,1300,69,19.5906807002851,38,2,17,,0,0,,,,,,
189,R. da Palma 171,novobanco Almirante Reis,NB3,-9.1359581,38.7180302,Santa Maria Maior,18,2215.47674641,20,69,19.395841714289528,43,3,26,,0,0,,,,,,
191,Avenida 5 de Outubro 164-A,novobanco Av. de Berna,NB5,-9.1483886,38.7406001,Areeiro,3,4388.97083492,1800,70,19.320380456231167,48,3,24,,0,0,,,,,,
192,Av. Casal Ribeiro 46C,novobanco Saldanha,NB17,-9.1435252,38.7331116,Areeiro,3,4388.97083492,1800,70,19.320380456231167,48,3,24,,0,0,,,,,,
193,Edifício Mythos Av. Dom João II lote 1.06 2.1,novobanco Parque das Nações,NB13,-9.0974382,38.7688441,Parque das Nações,16,4388.97083492,500,70,19.112479196030904,53,3,33,,0,0,,,,,,
194,R. Helena Vaz da Silva 3 B LJ 2,Banco BPI | Alta de Lisboa,BA7,-9.1536097,38.772413,Lumiar,12,4388.97083492,700,70,19.144464005292484,52,3,32,,0,0,,,,,,
195,R. Mesquita 6,CENTRO SANTANDER,CN1,-9.1603854,38.7353565,Areeiro,3,1862.94266235,800,69,19.57899381440683,38,2,18,,0,0,,,,,,
196,CENTRO SANTANDER R. Mesquita 6 6A,Balcão Centro Santander  Lisboa,BC1,-9.1606796,38.7356593,Areeiro,3,2939.66162472,850,69,19.40858853855895,43,3,23,,0,0,,,,,,
197,R. Alves Torgo 53,Banco BPI | Praça do Chile,BA16,-9.1354787,38.7336971,Areeiro,3,2245.59050082,1000,69,19.547577734128232,39,2,19,,0,0,,,,,,
198,Estr. de Benfica 519 A,Banco BPI | Benfica - Fonte Nova,BA11,-9.1927631,38.7493459,São Domingos de Benfica,21,595.160921456,1300,68,19.869014492110765,29,2,8,,0,0,,,,,,
199,Av. Eng. Duarte Pacheco,Caixa Geral de Depósitos,CX17,-9.1612033,38.7237846,Campolide,9,2939.66162472,700,69,19.38459993161276,44,3,24,,0,0,,,,,,
200,Av. de Roma 6E,Bankinter,BI3,-9.1378648,38.74236,Alvalade,2,1451.29865906,2100,68,19.855100336361133,30,2,6,,0,0,,,,,,
201,R. Ferreira Borges 70-A,novobanco Campo de Ourique,NB8,-9.1638481,38.7169633,Campo de Ourique,8,1300.0,550,69,19.632286727218958,36,2,17,,0,0,,,,,,
202,Rua da Penha de França 37-A,novobanco Graça,NB10,-9.1292624,38.7223388,Penha de França,17,2939.66162472,1200,69,19.464561954766708,42,3,21,,0,0,,,,,,
203,R. Barata Salgueiro 30 A,Banco Invest  Centro de Investimento Lisboa,BA24,-9.1487669,38.7213028,Santo António,19,1000.0,1300,68,19.801936737789866,31,2,10,,0,0,,,,,,
204,Praça Marquês de Pombal 1 R/C e 1.º andar,Banco Montepio | Lisboa - Marquês de Pombal,BA32,-9.1500374,38.7243497,Santo António,19,2939.66162472,1000,69,19.43257714550513,43,3,22,,0,0,,,,,,
205,R. Carlos Alberto da Mota Pinto 7,Banco BPI | Amoreiras,BA8,-9.1609987,38.7233105,Campo de Ourique,8,847.292865424,1000,68,19.779261556727374,31,2,11,,0,0,,,,,,
206,Av. Alm. Reis 181-A,novobanco Praça do Chile,NB15,-9.1342983,38.7352016,Areeiro,3,1054.195651,900,68,19.728987446217076,33,2,13,,0,0,,,,,,
207,R. da Escola Politécnica n.º 111,Bankinter,BI4,-9.1516367,38.7177312,Misericórdia,14,1135.54437095,500,68,19.65153916483669,35,2,17,,0,0,,,,,,
208,Av. Rio de Janeiro 50 A,Caixa Geral de Depósitos,CX18,-9.1394462,38.7560703,Alvalade,2,4388.97083492,1300,70,19.240418433077217,50,3,28,,0,0,,,,,,
209,Av. dos Estados Unidos da América 102 A,Banco BPI | Av. Estados Unidos da América,BA9,-9.1425886,38.7494875,Alvalade,2,595.160921456,1200,68,19.853022087479978,29,2,9,,0,0,,,,,,
210,Estr. de Benfica,Caixa Geral de Depositos Benfica Fonte Nova,CX19,-9.1924019,38.7492883,Benfica,7,1451.29865906,1300,68,19.727161099314817,33,2,12,,0,0,,,,,,
211,Praça Alvalade 4 C,Millennium bcp,MBCP17,-9.1444116,38.7527398,Alvalade,2,719.798770363,750,68,19.760405031493526,32,2,13,,0,0,,,,,,
212,Av. Columbano Bordalo Pinheiro 57 A,novobanco Columbano,NB9,-9.1613995,38.7378799,Campolide,9,1451.29865906,650,69,19.623210469214687,36,2,17,,0,0,,,,,,
213,Avenida 5 de Outubro Nº 158A,Banco CTT 5 de Outubro - Lisboa,BA18,-9.1483356,38.7403281,Areeiro,3,1451.29865906,1800,68,19.807123122468766,31,2,9,,0,0,,,,,,
214,Av. da Igreja 26,Millennium bcp,MBCP18,-9.1423829,38.7538111,Alvalade,2,550.331568192,1400,67,19.89243466867361,28,2,7,,0,0,,,,,,
215,Estr. de Benfica 713A,Millennium bcp,MBCP19,-9.2016468,38.7505742,Benfica,7,1786.0640517,850,69,19.59972802752953,37,2,17,,0,0,,,,,,
216,Av. Marquês de Tomar 5 A,Banco Montepio | Lisboa - Marquês de Tomar,BA33,-9.1493048,38.7354097,Areeiro,3,1451.29865906,2100,68,19.855100336361133,30,2,6,,0,0,,,,,,
217,Av. Fontes Pereira de Melo 34 A B,EuroBic ABANCA - Fontes Pereira de Melo,EB4,-9.146585,38.7305564,Areeiro,3,765.838054525,3000,66,20.112605890401188,23,2,-4,,0,0,,,,,,
218,Av. Alm. Gago Coutinho 26,BNP Paribas Securities Services,BNP2,-9.1313181,38.7447511,Alvalade,2,1451.29865906,2400,67,19.9030775502535,29,2,4,,0,0,,,,,,
219,Av. Defensores de Chaves 45 4º,Fce Bank Plc - Sucursal Em Portugal,FBC1,-9.1439772,38.7368132,Areeiro,3,1451.29865906,1700,68,19.791130717837973,32,2,9,,0,0,,,,,,
220,R. Conde Sabugosa 6,Banco BPI - Centro Premier | Av. de Roma,BA5,-9.13964,38.747383,Areeiro,3,595.160921456,1600,67,19.916991706003135,27,2,6,,0,0,,,,,,
221,Estr. de Benfica 676-A,novobanco Benfica,NB7,-9.2043295,38.7518345,Benfica,7,676.242304325,1100,68,19.823595315051378,30,2,10,,0,0,,,,,,
222,Av. José Malhoa 27 - C,Millennium bcp,MBCP20,-9.1671936,38.7379772,Campolide,9,1451.29865906,550,69,19.607218064583897,36,2,18,,0,0,,,,,,
223,Av. Rio de Janeiro 48 A/B,novobanco Alvalade,NB4,-9.1392543,38.7557349,Alvalade,2,601.598397542,1200,68,19.851955462585718,29,2,9,,0,0,,,,,,
224,R. Prof. Reinaldo dos Santos 7A,Millennium bcp,MBCP21,-9.1886851,38.7478752,São Domingos de Benfica,21,803.872584067,2200,67,19.978364715218106,26,2,2,,0,0,,,,,,
225,Av. Columbano Bordalo Pinheiro Lote A junto ao n.º 11,Bankinter,BI5,-9.1610084,38.7378811,Campolide,9,1451.29865906,950,68,19.671187683107053,35,2,15,,0,0,,,,,,
226,Alameda das Linhas de Torres 234A,Millennium bcp,MBCP22,-9.1604711,38.7719974,Lumiar,12,1299.2221755,1000,68,19.704381425736273,34,2,14,,0,0,,,,,,
227,R. Prof. Reinaldo dos Santos 5 A b,Banco BPI - Centro Premier | Benfica,BA6,-9.1886941,38.7477588,São Domingos de Benfica,21,1451.29865906,2200,67,19.871092740991923,30,2,6,,0,0,,,,,,
228,Alameda das Linhas de Torres 255,Banco BPI | Lumiar,BA14,-9.1616031,38.7727605,Lumiar,12,707.474603697,1700,67,19.91437486566841,28,2,6,,0,0,,,,,,
229,Av. da República Nº 99 D,Banco CTT Entrecampos,BA19,-9.1477473,38.7440214,Areeiro,3,1317.22108146,1700,68,19.8133460208728,31,2,9,,0,0,,,,,,
230,R. dos Soeiros 339 D,Millennium bcp,MBCP23,-9.177233,38.7560318,São Domingos de Benfica,21,602.455118033,1300,68,19.867805917267347,29,2,8,,0,0,,,,,,
231,Av. Eng. Duarte Pacheco 21B,Balcão Santander Work Café Amoreiras,BC3,-9.1591484,38.724257,Campolide,9,2939.66162472,1100,69,19.44856955013592,42,3,22,,0,0,,,,,,
232,Praça de Londres 3-B,novobanco Praça de Londres,NB14,-9.137523,38.7417434,Areeiro,3,1317.22108146,2200,67,19.893308044026746,29,2,5,,0,0,,,,,,
233,Alameda Manuel Ricardo Espírito Santo 2,EuroBic ABANCA - Benfica,EB3,-9.18914,38.7476,Lumiar,12,1317.22108146,1700,68,19.8133460208728,31,2,9,,0,0,,,,,,
234,Av. Rainha Dona Amélia 8-C,novobanco Lumiar,NB11,-9.1585174,38.7667366,Lumiar,12,437.314141729,1300,67,19.8951681123318,28,2,7,,0,0,,,,,,
235,Rua Luís Pastor Macedo,ATM Multibanco,M25,-9.1590206,38.7677957,Lumiar,12,1500.0,1300,68,19.71909177805655,34,2,13,2017-09-13,1,1,,,,,,
236, Estrada da Luz,BPI ATM,A18,-9.1800986,38.7542353,São Domingos de Benfica,21,1400.0,4000,66,20.16745569503453,22,1,-8,2017-04-26,1,0,,,,,,
237,Terreiro do Paço / Praça do Comércio 2 Ala Oriental,ATM | Ministério da Administração Interna,A19,-9.1392348,38.7082122,Santa Maria Maior,18,17.0,300,68,19.804885882317667,30,2,12,2017-12-05,1,1,,,,,,
238,Rua Dom João V, Eurobic bank ATM,EB1,-9.1591005,38.7202964,Campo de Ourique,8,0.0,280,68,19.80450413002244,30,2,12,2017-01-04,1,1,,,,,,
239,Av. Fontes Pereira de Melo 35 Lj 1,Millennium bcp,MBCP24,-9.1493645,38.7314696,Avenidas Novas,5,1000.0,2200,67,19.945868379466972,27,2,3,2018-08-24,1,1,,,,,,
